"","name","arms","campain","triplicat","plate_number","orientation","open_close","site_names","island","comb","orientation_type"
"125","RODARMS7_06D","RODARMS3A","RODARMS","RODARMS3","6","B","o","Grand_Pate","Rodrigues","6Bo","B_o"
"126","RODARMS7_06U","RODARMS3A","RODARMS","RODARMS3","6","T","c","Grand_Pate","Rodrigues","6Tc","T_c"
"127","RODARMS7_07D","RODARMS3A","RODARMS","RODARMS3","7","B","c","Grand_Pate","Rodrigues","7Bc","B_c"
"128","RODARMS7_07U","RODARMS3A","RODARMS","RODARMS3","7","T","o","Grand_Pate","Rodrigues","7To","T_o"
"129","RODARMS7_08D","RODARMS3A","RODARMS","RODARMS3","8","B","o","Grand_Pate","Rodrigues","8Bo","B_o"
"130","RODARMS7_08U","RODARMS3A","RODARMS","RODARMS3","8","T","c","Grand_Pate","Rodrigues","8Tc","T_c"
"131","RODARMS7_09D","RODARMS3A","RODARMS","RODARMS3","9","B","c","Grand_Pate","Rodrigues","9Bc","B_c"
"132","RODARMS7_09U","RODARMS3A","RODARMS","RODARMS3","9","T","o","Grand_Pate","Rodrigues","9To","T_o"
"133","RODARMS7_10D","RODARMS3A","RODARMS","RODARMS3","10","B","o","Grand_Pate","Rodrigues","10Bo","B_o"
"137","RODARMS8_02U","RODARMS3B","RODARMS","RODARMS3","2","T","c","Grand_Pate","Rodrigues","2Tc","T_c"
"138","RODARMS8_03D","RODARMS3B","RODARMS","RODARMS3","3","B","c","Grand_Pate","Rodrigues","3Bc","B_c"
"139","RODARMS8_03U","RODARMS3B","RODARMS","RODARMS3","3","T","o","Grand_Pate","Rodrigues","3To","T_o"
"140","RODARMS8_04D","RODARMS3B","RODARMS","RODARMS3","4","B","o","Grand_Pate","Rodrigues","4Bo","B_o"
"141","RODARMS8_04U","RODARMS3B","RODARMS","RODARMS3","4","T","c","Grand_Pate","Rodrigues","4Tc","T_c"
"142","RODARMS8_05D","RODARMS3B","RODARMS","RODARMS3","5","B","c","Grand_Pate","Rodrigues","5Bc","B_c"
"143","RODARMS8_05U","RODARMS3B","RODARMS","RODARMS3","5","T","o","Grand_Pate","Rodrigues","5To","T_o"
"144","RODARMS8_06D","RODARMS3B","RODARMS","RODARMS3","6","B","o","Grand_Pate","Rodrigues","6Bo","B_o"
"145","RODARMS8_06U","RODARMS3B","RODARMS","RODARMS3","6","T","c","Grand_Pate","Rodrigues","6Tc","T_c"
"146","RODARMS8_07D","RODARMS3B","RODARMS","RODARMS3","7","B","c","Grand_Pate","Rodrigues","7Bc","B_c"
"147","RODARMS8_07U","RODARMS3B","RODARMS","RODARMS3","7","T","o","Grand_Pate","Rodrigues","7To","T_o"
"148","RODARMS8_08D","RODARMS3B","RODARMS","RODARMS3","8","B","o","Grand_Pate","Rodrigues","8Bo","B_o"
"149","RODARMS8_08U","RODARMS3B","RODARMS","RODARMS3","8","T","c","Grand_Pate","Rodrigues","8Tc","T_c"
"150","RODARMS8_09D","RODARMS3B","RODARMS","RODARMS3","9","B","c","Grand_Pate","Rodrigues","9Bc","B_c"
"151","RODARMS8_09U","RODARMS3B","RODARMS","RODARMS3","9","T","o","Grand_Pate","Rodrigues","9To","T_o"
"152","RODARMS8_10D","RODARMS3B","RODARMS","RODARMS3","10","B","o","Grand_Pate","Rodrigues","10Bo","B_o"
"153","P50ARMS1A_1T","P50ARMS1A","P50ARMS","P50ARMS1","1","T","c","Cap_Houssaye","Reunion","1Tc","T_c"
"154","P50ARMS1A_2B","P50ARMS1A","P50ARMS","P50ARMS1","2","B","c","Cap_Houssaye","Reunion","2Bc","B_c"
"155","P50ARMS1A_2T","P50ARMS1A","P50ARMS","P50ARMS1","2","T","o","Cap_Houssaye","Reunion","2To","T_o"
"156","P50ARMS1A_3B","P50ARMS1A","P50ARMS","P50ARMS1","3","B","o","Cap_Houssaye","Reunion","3Bo","B_o"
"157","P50ARMS1A_3T","P50ARMS1A","P50ARMS","P50ARMS1","3","T","c","Cap_Houssaye","Reunion","3Tc","T_c"
"158","P50ARMS1A_4B","P50ARMS1A","P50ARMS","P50ARMS1","4","B","c","Cap_Houssaye","Reunion","4Bc","B_c"
"159","P50ARMS1A_4T","P50ARMS1A","P50ARMS","P50ARMS1","4","T","o","Cap_Houssaye","Reunion","4To","T_o"
"160","P50ARMS1A_5B","P50ARMS1A","P50ARMS","P50ARMS1","5","B","o","Cap_Houssaye","Reunion","5Bo","B_o"
"161","P50ARMS1A_5T","P50ARMS1A","P50ARMS","P50ARMS1","5","T","c","Cap_Houssaye","Reunion","5Tc","T_c"
"162","P50ARMS1A_6B","P50ARMS1A","P50ARMS","P50ARMS1","6","B","c","Cap_Houssaye","Reunion","6Bc","B_c"
"163","P50ARMS1A_6T","P50ARMS1A","P50ARMS","P50ARMS1","6","T","o","Cap_Houssaye","Reunion","6To","T_o"
"164","P50ARMS1A_7B","P50ARMS1A","P50ARMS","P50ARMS1","7","B","o","Cap_Houssaye","Reunion","7Bo","B_o"
"165","P50ARMS1A_7T","P50ARMS1A","P50ARMS","P50ARMS1","7","T","c","Cap_Houssaye","Reunion","7Tc","T_c"
"166","P50ARMS1A_8B","P50ARMS1A","P50ARMS","P50ARMS1","8","B","c","Cap_Houssaye","Reunion","8Bc","B_c"
"167","P50ARMS1A_8T","P50ARMS1A","P50ARMS","P50ARMS1","8","T","o","Cap_Houssaye","Reunion","8To","T_o"
"168","P50ARMS1A_9B","P50ARMS1A","P50ARMS","P50ARMS1","9","B","o","Cap_Houssaye","Reunion","9Bo","B_o"
"169","P50ARMS1B_1T","P50ARMS1B","P50ARMS","P50ARMS1","1","T","c","Cap_Houssaye","Reunion","1Tc","T_c"
"170","P50ARMS1B_2B","P50ARMS1B","P50ARMS","P50ARMS1","2","B","c","Cap_Houssaye","Reunion","2Bc","B_c"
"171","P50ARMS1B_2T","P50ARMS1B","P50ARMS","P50ARMS1","2","T","o","Cap_Houssaye","Reunion","2To","T_o"
"172","P50ARMS1B_3B","P50ARMS1B","P50ARMS","P50ARMS1","3","B","o","Cap_Houssaye","Reunion","3Bo","B_o"
"173","P50ARMS1B_3T","P50ARMS1B","P50ARMS","P50ARMS1","3","T","c","Cap_Houssaye","Reunion","3Tc","T_c"
"174","P50ARMS1B_4B","P50ARMS1B","P50ARMS","P50ARMS1","4","B","c","Cap_Houssaye","Reunion","4Bc","B_c"
"175","P50ARMS1B_4T","P50ARMS1B","P50ARMS","P50ARMS1","4","T","o","Cap_Houssaye","Reunion","4To","T_o"
"176","P50ARMS1B_5B","P50ARMS1B","P50ARMS","P50ARMS1","5","B","o","Cap_Houssaye","Reunion","5Bo","B_o"
"177","P50ARMS1B_5T","P50ARMS1B","P50ARMS","P50ARMS1","5","T","c","Cap_Houssaye","Reunion","5Tc","T_c"
"178","P50ARMS1B_6B","P50ARMS1B","P50ARMS","P50ARMS1","6","B","c","Cap_Houssaye","Reunion","6Bc","B_c"
"179","P50ARMS1B_6T","P50ARMS1B","P50ARMS","P50ARMS1","6","T","o","Cap_Houssaye","Reunion","6To","T_o"
"180","P50ARMS1B_7B","P50ARMS1B","P50ARMS","P50ARMS1","7","B","o","Cap_Houssaye","Reunion","7Bo","B_o"
"181","P50ARMS1B_7T","P50ARMS1B","P50ARMS","P50ARMS1","7","T","c","Cap_Houssaye","Reunion","7Tc","T_c"
"182","P50ARMS1B_8B","P50ARMS1B","P50ARMS","P50ARMS1","8","B","c","Cap_Houssaye","Reunion","8Bc","B_c"
"183","P50ARMS1B_8T","P50ARMS1B","P50ARMS","P50ARMS1","8","T","o","Cap_Houssaye","Reunion","8To","T_o"
"184","P50ARMS1B_9B","P50ARMS1B","P50ARMS","P50ARMS1","9","B","o","Cap_Houssaye","Reunion","9Bo","B_o"
"185","P50ARMS1C_1T","P50ARMS1C","P50ARMS","P50ARMS1","1","T","c","Cap_Houssaye","Reunion","1Tc","T_c"
"186","P50ARMS1C_2B","P50ARMS1C","P50ARMS","P50ARMS1","2","B","c","Cap_Houssaye","Reunion","2Bc","B_c"
"187","P50ARMS1C_2T","P50ARMS1C","P50ARMS","P50ARMS1","2","T","o","Cap_Houssaye","Reunion","2To","T_o"
"188","P50ARMS1C_3B","P50ARMS1C","P50ARMS","P50ARMS1","3","B","o","Cap_Houssaye","Reunion","3Bo","B_o"
"189","P50ARMS1C_3T","P50ARMS1C","P50ARMS","P50ARMS1","3","T","c","Cap_Houssaye","Reunion","3Tc","T_c"
"190","P50ARMS1C_4B","P50ARMS1C","P50ARMS","P50ARMS1","4","B","c","Cap_Houssaye","Reunion","4Bc","B_c"
"191","P50ARMS1C_4T","P50ARMS1C","P50ARMS","P50ARMS1","4","T","o","Cap_Houssaye","Reunion","4To","T_o"
"192","P50ARMS1C_5B","P50ARMS1C","P50ARMS","P50ARMS1","5","B","o","Cap_Houssaye","Reunion","5Bo","B_o"
"193","P50ARMS1C_5T","P50ARMS1C","P50ARMS","P50ARMS1","5","T","c","Cap_Houssaye","Reunion","5Tc","T_c"
"194","P50ARMS1C_6B","P50ARMS1C","P50ARMS","P50ARMS1","6","B","c","Cap_Houssaye","Reunion","6Bc","B_c"
"195","P50ARMS1C_6T","P50ARMS1C","P50ARMS","P50ARMS1","6","T","o","Cap_Houssaye","Reunion","6To","T_o"
"196","P50ARMS1C_7B","P50ARMS1C","P50ARMS","P50ARMS1","7","B","o","Cap_Houssaye","Reunion","7Bo","B_o"
"197","P50ARMS1C_7T","P50ARMS1C","P50ARMS","P50ARMS1","7","T","c","Cap_Houssaye","Reunion","7Tc","T_c"
"198","P50ARMS1C_8B","P50ARMS1C","P50ARMS","P50ARMS1","8","B","c","Cap_Houssaye","Reunion","8Bc","B_c"
"199","P50ARMS1C_8T","P50ARMS1C","P50ARMS","P50ARMS1","8","T","o","Cap_Houssaye","Reunion","8To","T_o"
"200","P50ARMS1C_9B","P50ARMS1C","P50ARMS","P50ARMS1","9","B","o","Cap_Houssaye","Reunion","9Bo","B_o"
"201","P50ARMS2A_1T","P50ARMS2A","P50ARMS","P50ARMS2","1","T","c","Saint_Leu","Reunion","1Tc","T_c"
