"","T_1A","T_1B","T_2A","T_2B","T_3A","T_3B"
"2022-04-23",27.4689880952381,27.496630952381,27.1230595238095,27.1336011904762,26.373255952381,26.329125
"2022-04-24",27.4506964285714,27.4795357142857,27.1836547619048,27.1945416666667,26.6255595238095,26.5789761904762
"2022-04-25",27.3711369047619,27.4013988095238,27.2144642857143,27.2287202380952,26.7161666666667,26.6666428571429
"2022-04-26",27.2392023809524,27.272494047619,27.154119047619,27.175630952381,26.8428035714286,26.7886130952381
"2022-04-27",27.1185654761905,27.1515476190476,27.0736130952381,27.0975833333333,26.9705416666667,26.9287857142857
"2022-04-28",26.9793452380952,27.0141964285714,26.9253630952381,26.945369047619,26.8794464285714,26.8377142857143
"2022-04-29",26.8894523809524,26.9238511904762,26.8007380952381,26.8200119047619,26.6379345238095,26.5947916666667
"2022-04-30",26.8294761904762,26.8635595238095,26.7539226190476,26.7691369047619,26.4678214285714,26.4273511904762
"2022-05-01",26.7839702380952,26.817755952381,26.7766904761905,26.79175,26.3701845238095,26.3366011904762
"2022-05-02",26.7345773809524,26.770244047619,26.8037916666667,26.8183928571429,26.374869047619,26.3440892857143
"2022-05-03",26.7459285714286,26.7811785714286,26.87575,26.89125,26.3885654761905,26.3608035714286
"2022-05-04",26.7498452380952,26.786119047619,26.9228154761905,26.9390416666667,26.4677916666667,26.4349523809524
"2022-05-05",26.8067976190476,26.8423392857143,26.9370714285714,26.956630952381,26.565244047619,26.5338511904762
"2022-05-06",26.7642261904762,26.7990357142857,26.9270654761905,26.947494047619,26.7091666666667,26.6787619047619
"2022-05-07",26.664630952381,26.700130952381,26.827869047619,26.851755952381,26.776375,26.7402916666667
"2022-05-08",26.5886666666667,26.6242678571429,26.7037976190476,26.7282261904762,26.711255952381,26.6728571428571
"2022-05-09",26.5818630952381,26.6151488095238,26.5998988095238,26.6234523809524,26.5848154761905,26.5478630952381
"2022-05-10",26.5426130952381,26.5758809523809,26.4889761904762,26.5120535714286,26.4531607142857,26.4171130952381
"2022-05-11",26.4924523809524,26.5257023809524,26.3958869047619,26.419244047619,26.2561488095238,26.2156488095238
"2022-05-12",26.3871726190476,26.4198333333333,26.309130952381,26.330755952381,26.0529464285714,26.0087440476191
"2022-05-13",26.3398273809524,26.3724880952381,26.263375,26.2842678571429,25.8107976190476,25.7607202380952
"2022-05-14",26.3169821428571,26.3489583333333,26.2375416666667,26.2553928571429,25.6934583333333,25.6489047619048
"2022-05-15",26.2687380952381,26.2991369047619,26.1479642857143,26.1653988095238,25.6166964285714,25.5746428571429
"2022-05-16",26.1709166666667,26.2010119047619,26.0526785714286,26.0647619047619,25.5026071428571,25.4592857142857
